EVA_NR;DS100;IFOPT;NAME;Verkehr;Laenge;Breite;Betreiber_Name;Betreiber_Nr;Status
8000019;HBHA;de:03153:4946;Bad Harzburg;RV;10,555444;51,888116;DB Station und Service AG;281;
8000020;FBHF;de:06632:202026;Bad Hersfeld;FV;9,716182;50,869632;DB Station und Service AG;282;
8000021;SBKN;de:07133:8178;Bad Kreuznach;RV;7,866435;49,842399;DB Station und Service AG;296;
8000022;HNDF;de:03257:505;Bad Nenndorf;RV;9,378603;52,343735;DB Station und Service AG;311;
8000023;AO;de:01062:37979;Bad Oldesloe;RV;10,3825414;53,8053902;DB Station und Service AG;317;
8000025;NBA;de:09461:20010;Bamberg;FV;10,899489;49,900759;DB Station und Service AG;393;
8000026;RB;ch:23005:6;Basel Bad Bf;FV;7,607805;47,567288;Schweizerischen Bundesbahnen;;
8000027;NSCH;de:09376:7410;Schwandorf;RV;12,103802;49,3263803;DB Station und Service AG;5710;
8000028;NBY;de:09462:22000;Bayreuth Hbf;RV;11,579985;49,949616;DB Station und Service AG;439;
8000029;FB;de:06632:202110;Bebra;FV;9,797788;50,969568;DB Station und Service AG;443;
8000030;KBE;de:05362:89101;Bedburg(Erft);RV;6,572615;50,987478;DB Station und Service AG;447;
8000031;FBH;de:06431:236;Bensheim;FV;8,616717;49,681329;DB Station und Service AG;488;
8000032;NS;de:09662:28058;Schweinfurt Hbf;RV;10,212919;50,035313;DB Station und Service AG;5742;
8000033;KSWE;de:05954:8174;Schwelm;RV;7,289681;51,290526;DB Station und Service AG;5749;
8000034;EBZ;de:07132:090171;Betzdorf(Sieg);RV;7,87005;50,789294;DB Station und Service AG;597;
8000036;EBILP;de:05711:5500;Bielefeld Hbf;FV;8,532722;52,029261;DB Station und Service AG;622;
8000037;ESRT;de:05978:63583;Schwerte(Ruhr);RV;7,55896;51,442281;DB Station und Service AG;5763;
8000038;TBM;de:08118:1400;Bietigheim-Bissingen;RV;9,137557;48,947933;DB Station und Service AG;636;
8000039;FBGK;de:07339:8183;Bingen(Rhein) Hbf;FV;7,884263;49,968729;DB Station und Service AG;649;
8000041;EBO;de:05911:5194;Bochum Hbf;FV;7,223275;51,478609;DB Station und Service AG;724;
8000042;RSE;de:08225:8203;Seckach;RV;9,338469;49,441157;DB Station und Service AG;5774;
8000043;HSSN;de:03153:5780;Seesen;RV;10,173898;51,887263;DB Station und Service AG;5797;
8000044;KB;de:05314:61101;Bonn Hbf;FV;7,097136;50,732008;DB Station und Service AG;767;
8000045;KBOP;de:07140:060039;Boppard Hbf;FV;7,586102;50,231413;DB Station und Service AG;776;
8000046;ESIE;de:05970:10097;Siegen Hbf;RV;8,016508;50,875939;DB Station und Service AG;5842;
8000047;EBTH,EBTHP;de:05512:3335;Bottrop Hbf;RV;6,936684;51,50945;DB Station und Service AG;804;
8000048;EBWE;de:05711:5059;Brackwede;RV;8,498426;51,997378;DB Station und Service AG;811;
8000049;HBS;de:03101:178;Braunschweig Hbf;FV;10,540295;52,252218;DB Station und Service AG;835;
8000050;HB;de:04011:13927;Bremen Hbf;FV;8,813834;53,083481;DB Station und Service AG;855;
8000051;HBH;de:04012:14418;Bremerhaven Hbf;RV;8,599555;53,534912;DB Station und Service AG;868;
8000053;RBT;de:08215:1551;Bretten;RV;8,693448;49,0369;DB Station und Service AG;875;
8000054;EBRW;de:05958:60005;Brilon Wald;RV;8,576073;51,349159;DB Station und Service AG;888;
8000055;RBR;de:08215:1856;Bruchsal;FV;8,589649;49,124622;DB Station und Service AG;904;
8000056;ABLZ;de:03353:8000056;Buchholz(Nordheide);nur DPN;9,876266;53,324683;DB Station und Service AG;941;
8000057;MBU;de:09777:1000;Buchloe;FV;10,716217;48,033723;DB Station und Service AG;944;
8000058;ABCH;de:01053:8000058;Büchen;FV;10,623298;53,474972;DB Station und Service AG;929;
8000059;HBDE;de:05758:1120;Bünde(Westf);FV;8,573876;52,202075;DB Station und Service AG;968;
8000060;KSIH;de:07143:040001;Siershahn;nur DPN;7,77138;50,485857;DB Station und Service AG;5848;
8000061;FBNG;de:06535:11187;Burg-u. Nieder Gemünden;nur DPN;9,047604;50,691113;DB Station und Service AG;978;
8000062;EBFT;de:05566:16548;Steinfurt-Burgsteinfurt;RV;7,32934;52,147384;DB Station und Service AG;997;
8000063;TCW;de:08235:9030;Calw;RV;8,741854;48,714682;DB Station und Service AG;1025;
8000064;HC;de:03351:50;Celle;FV;10,0626343;52,6209628;DB Station und Service AG;1036;
8000065;FCOE;de:06534:11080;Cölbe;RV;8,787365;50,848159;DB Station und Service AG;1063;
8000066;ECMF;de:05558:16602;Coesfeld(Westf);RV;7,16388;51,939431;DB Station und Service AG;1062;
8000067;TC;de:08127:21001;Crailsheim;FV;10,064326;49,137872;DB Station und Service AG;1079;
8000068;FD;de:06411:4734;Darmstadt Hbf;FV;8,629636;49,872503;DB Station und Service AG;1126;
8000069;TSIG;de:08437:42111;Sigmaringen;RV;9,221851;48,086984;DB Station und Service AG;5853;
8000070;HD;de:03401:19646;Delmenhorst;FV;8,629758;53,052792;DB Station und Service AG;1159;
8000071;HDBG;de:03254:21906;Derneburg(Han);nur DPN;10,143719;52,096851;DB Station und Service AG;1172;
8000072;MSBI;de:09277:80490;Simbach(Inn);RV;13,023012;48,262726;DB RegioNetz Infrastruktur GmbH;;
8000073;RSI;de:08335:6588;Singen(Hohentwiel);FV;8,840383;47,758438;DB Station und Service AG;5865;
8000074;FDIL;de:06532:11005;Dillenburg;RV;8,294088;50,734883;DB Station und Service AG;1214;
8000075;SDL;de:10044:8000075;Dillingen(Saar);RV;6,72215;49,35271;DB Station und Service AG;1216;
8000076;ESOT;de:05974:11246;Soest;FV;8,104589;51,578419;DB Station und Service AG;5876;
8000077;RDO;de:08326:6537;Donaueschingen;FV;8,498919;47,947786;DB Station und Service AG;1264;
8000078;MDT;de:09779:5500;Donauwörth;FV;10,771443;48,714026;DB Station und Service AG;1265;
8000080;EDO,EDO N;de:05913:131;Dortmund Hbf;FV;7,45929;51,517896;DB Station und Service AG;1289;
8000081;EDDP,EDDPH,EDDPT;de:05913:196;Dortmund-Dorstfeld;RV;7,424864;51,509376;DB Station und Service AG;1304;
8000082;KDFF,KDFFH;de:05111:18488;Düsseldorf Flughafen;FV;6,786836;51,292009;DB Station und Service AG;1400;
8000083;EDUL,EDULH;de:05558:15351;Dülmen;RV;7,295765;51,827676;DB Station und Service AG;1390;
8000084;KDN,KDN P;de:05358:2286;Düren;FV;6,482451;50,809517;DB Station und Service AG;1392;
8000085;KD;de:05111:18235;Düsseldorf Hbf;FV;6,794319;51,219962;DB Station und Service AG;1401;
8000086;EDG;de:05112:16032;Duisburg Hbf;FV;6,775903;51,429785;DB Station und Service AG;1374;
8000087;KSO;de:05122:13800;Solingen Hbf;FV;7,004187;51,160766;DB Station und Service AG;5882;
8000088;HSO;de:03358:85426;Soltau(Han);nur DPN;9,831109;52,983017;DB Station und Service AG;5892;
8000089;AST;de:03359:8000089;Stade;RV;9,477008;53,596143;DB Station und Service AG;5950;
8000090;HEBG;de:06636:206285;Eichenberg;RV;9,921482;51,374823;DB Station und Service AG;1499;
8000091;NSTN;de:09575:14350;Steinach(b Rothenburg ob der Tauber);FV;10,273535;49,453218;DB Station und Service AG;5981;
8000092;AEL;de:01056:97960;Elmshorn;FV;9,659408;53,754025;DB Station und Service AG;1558;
8000093;HELZ;de:03254:21616;Elze(Han);FV;9,746894;52,120147;DB Station und Service AG;1577;
8000094;KENR;de:07138:10110;Engers;RV;7,546827;50,42598;DB Station und Service AG;1599;
8000095;NST;de:09263:2600;Straubing;FV;12,574094;48,876978;DB Station und Service AG;6056;
8000096;TS;de:08111:6115;Stuttgart Hbf;FV;9,181635;48,784084;DB Station und Service AG;6071;
8000098;EE;de:05113:9289;Essen Hbf;FV;7,014793;51,451355;DB Station und Service AG;1690;
8000099;EEST;de:05113:9582;Essen-Steele;RV;7,075552;51,450684;DB Station und Service AG;1710;
8000100;KEU;de:05366:72101;Euskirchen;RV;6,792193;50,65776;DB Station und Service AG;1734;
8000101;TET;de:08237:7965;Eutingen im Gäu;FV;8,782236;48,479952;DB Station und Service AG;1738;
8000102;EFP;de:05966:11047;Finnentrop;nur DPN;7,964563;51,173048;DB Station und Service AG;1793;
8000103;AF;de:01001:27253;Flensburg;FV;9,436526;54,774039;DB Station und Service AG;1810;
8000104;FFRK;de:06635:205326;Frankenberg(Eder);RV;8,789181;51,054565;DB RegioNetz Infrastruktur GmbH;;
8000105;FF;de:06412:10;Frankfurt(Main)Hbf;FV;8,663789;50,107145;DB Station und Service AG;1866;
8000106;FHOE;de:06412:1008;Frankfurt-Höchst;RV;8,54237;50,102634;DB Station und Service AG;1872;
8000107;RF;de:08311:6508;Freiburg(Breisgau) Hbf;FV;7,84117;47,997697;DB Station und Service AG;1893;
8000108;MFL;de:09172:42293;Freilassing;FV;12,977193;47,836916;DB Station und Service AG;1906;
8000110;TFS;de:08237:1050;Freudenstadt Hbf;RV;8,428803;48,460322;DB Station und Service AG;1921;
8000111;FFG;de:06440:6401;Friedberg(Hess);FV;8,762056;50,332606;DB Station und Service AG;1930;
8000112;TF;de:08435:44002;Friedrichshafen Stadt;FV;9,4739;47,653224;DB Station und Service AG;1947;
8000113;EFOE;de:05978:32759;Fröndenberg;RV;7,762198;51,471254;DB Station und Service AG;1969;
8000114;NF;de:09563:2110;Fürth(Bay)Hbf;FV;10,989988;49,469707;DB Station und Service AG;1984;
8000115;FFU;de:06631:11049;Fulda;FV;9,683977;50,554723;DB Station und Service AG;1973;
8000116;MTS;de:09189:41179;Traunstein;FV;12,638801;47,869727;DB Station und Service AG;6240;
8000117;FGEL;de:06435:11058;Gelnhausen;RV;9,189278;50,196343;DB Station und Service AG;2051;
8000118;EG;de:05513:5613;Gelsenkirchen Hbf;FV;7,102455;51,504903;DB Station und Service AG;2052;
8000119;MGE;de:09181:502;Geltendorf;RV;11,0374552;48,1059912;DB Station und Service AG;2058;
8000120;NGM;de:09677:28001;Gemünden(Main);RV;9,699894;50,050018;DB Station und Service AG;2060;
8000121;FGHO;de:07339:8190;Gensingen-Horrweiler;RV;7,938188;49,89826;DB Station und Service AG;2064;
8000122;MTL;de:09577:16200;Treuchtlingen;FV;10,908159;48,961267;DB Station und Service AG;6252;
8000123;SGR;de:07233:30303;Gerolstein;RV;6,660372;50,224006;DB Station und Service AG;2099;
8000124;FG;de:06531:11016;Gießen;FV;8,661462;50,579059;DB Station und Service AG;2120;
8000125;EGBW;de:05562:3202;Gladbeck West;RV;6,976389;51,574922;DB Station und Service AG;2133;
8000126;FGE;de:06433:6802;Riedstadt-Goddelau;RV;8,489187;49,83323;DB Station und Service AG;2161;
8000127;TGO;de:08117:154;Göppingen;FV;9,651969;48,700027;DB Station und Service AG;2189;
8000128;HG;de:03152:33817;Göttingen;FV;9,926072;51,536815;DB Station und Service AG;2218;
8000129;FTS;de:06634:204662;Treysa;FV;9,185673;50,910661;DB Station und Service AG;6256;
8000130;HGS;de:03153:5982;Goslar;RV;10,421436;51,911573;DB Station und Service AG;2202;
8000131;RGN;de:08215:32585;Graben-Neudorf;RV;8,49063;49,161797;DB Station und Service AG;2223;
8000132;FGR;de:06434:6308;Grävenwiesbach;nur DPN;8,458553;50,382239;Hessische Landesbahn Basis;;
8000133;KGRB;de:05162:20001;Grevenbroich;RV;6,580447;51,093701;DB Station und Service AG;2263;
8000134;STR;de:07211:1318;Trier Hbf;FV;6,652453;49,756846;DB Station und Service AG;6264;
8000135;KT;de:05382:54701;Troisdorf;RV;7,150892;50,813922;DB Station und Service AG;6273;
8000136;FGER;de:06433:4802;Groß Gerau;nur DPN;8,486215;49,924934;DB Station und Service AG;2299;
8000137;RGR;de:07332:1009;Grünstadt;RV;8,167962;49,564384;DB Station und Service AG;2402;
8000138;KGUA,KGUI;de:05158:13970;Haan-Gruiten;RV;7,010546;51,214559;DB Station und Service AG;2381;
8000139;MGZB;de:09774:2600;Günzburg;FV;10,2792621;48,4605626;DB Station und Service AG;2422;
8000140;FGTH;de:06633:203095;Baunatal-Guntershausen;RV;9,466997;51,229917;DB Station und Service AG;2420;
8000141;TT;de:08416:11000;Tübingen Hbf;FV;9,055407;48,515811;DB Station und Service AG;6279;
8000142;EHG;de:05914:2007;Hagen Hbf;FV;7,460249;51,362747;DB Station und Service AG;2457;
8000143;RWGA;de:08336:6700;Weil am Rhein-Gartenstadt;nur DPN;7,616284;47,588707;DB Station und Service AG;7988;
8000144;MTHB;de:09778:3200;Türkheim(Bay)Bf;RV;10,617439;48,04569;DB Station und Service AG;6287;
8000145;EHLT;de:05562:3527;Haltern am See;RV;7,184366;51,737668;DB Station und Service AG;2510;
8000146;RWPF;de:08336:6706;Weil am Rhein-Pfädlistraße;nur DPN;7,626493;47,589015;DB Station und Service AG;7987;
8000147;AHAR;de:02000:8000147;Hamburg-Harburg;FV;9,991701;53,455908;DB Station und Service AG;2519;
8000148;HHM;de:03252:8000;Hameln;RV;9,375906;52,10185;DB Station und Service AG;2525;
8000149;EHM;de:05915:7756;Hamm(Westf);FV;7,807821;51,678078;DB Station und Service AG;2528;
8000150;FH,FH  N,FH  S;de:06435:4503;Hanau Hbf;FV;8,929;50,120953;DB Station und Service AG;2537;
8000152;HH;de:03241:31;Hannover Hbf;FV;9,741021;52,376761;DB Station und Service AG;2545;
8000154;STM;de:10046:8000154;Türkismühle;RV;7,114615;49,580358;DB Station und Service AG;6288;
8000155;AHI;de:01051:39654;Heide(Holst);FV;9,101029;54,193563;DB Station und Service AG;2625;
8000156;RH;de:08221:1160;Heidelberg Hbf;FV;8,675442;49,403567;DB Station und Service AG;2628;
8000157;TH;de:08121:26;Heilbronn Hbf;FV;9,207715;49,143306;DB Station und Service AG;2648;
8000158;FHWD,FHWR;de:06435:4544;Nidderau;RV;8,880233;50,230826;DB Station und Service AG;2670;
8000159;HHLM;de:03154:3261;Helmstedt;FV;11,010553;52,222086;DB Station und Service AG;2677;
8000160;THT;de:08437:44001;Herbertingen;RV;9,414604;48,063945;DB Station und Service AG;2695;
8000161;FHRB;de:06532:11007;Herborn(Dillkr);RV;8,30814;50,684405;DB Station und Service AG;2701;
8000162;EHFD;de:05758:1380;Herford;FV;8,663643;52,119609;DB Station und Service AG;2708;
8000163;TTU;de:08327:1748;Tuttlingen;FV;8,798542;47,980579;DB Station und Service AG;6292;
8000164;EHER;de:05916:7501;Herne;RV;7,21783;51,543652;DB Station und Service AG;2722;
8000165;EHDT;de:05562:3217;Hervest-Dorsten;nur DPN;6,974167;51,67191;DB Station und Service AG;2736;
8000166;HHB;de:03156:41699;Herzberg(Harz);RV;10,329923;51,643861;DB Station und Service AG;2740;
8000167;HHES;de:03459:41892;Hesepe;nur DPN;7,967599;52,439221;DB Station und Service AG;2746;
8000168;HU;de:03360:92160;Uelzen;FV;10,553053;52,969781;DB Station und Service AG;6310;
8000169;HHI;de:03254:9922;Hildesheim Hbf;FV;9,953497;52,160626;DB Station und Service AG;2765;
8000170;TU;de:08421:1008;Ulm Hbf;FV;9,982227;48,399437;DB Station und Service AG;6323;
8000171;EUN;de:05978:11218;Unna;FV;7,692858;51,538982;DB Station und Service AG;6335;
8000172;FHT;de:06437:11220;Höchst(Odenw);nur DPN;8,988549;49,794499;DB Station und Service AG;2807;
8000173;NHOB;de:09479:9579;Wunsiedel-Holenbrunn;RV;12,033928;50,051113;DB Station und Service AG;6912;
8000174;KV;de:05166:22005;Viersen;FV;6,403896;51,254947;DB Station und Service AG;6415;
8000175;SVL;de:10041:8000175;Völklingen;RV;6,848156;49,249091;DB Station und Service AG;6445;
8000176;SHO;de:10045:8000176;Homburg(Saar)Hbf;FV;7,337035;49,328082;DB Station und Service AG;2892;
8000177;THB;de:08237:5001;Horb;FV;8,688982;48,441471;DB Station und Service AG;2906;
8000178;KHR;de:05362:87303;Horrem;RV;6,713497;50,916249;DB Station und Service AG;2919;
8000180;TWN;de:08119:7604;Waiblingen;RV;9,299882;48,826124;DB Station und Service AG;6471;
8000181;AHM;de:01054:44660;Husum;FV;9,055026;54,472271;DB Station und Service AG;2953;
8000182;RIM;de:08327:1242;Immendingen;FV;8,729536;47,936007;DB Station und Service AG;2982;
8000183;MIH;de:09161:9000;Ingolstadt Hbf;FV;11,437337;48,744541;DB Station und Service AG;2993;
8000185;HGI;de:03151:858;Gifhorn;nur DPN;10,545284;52,456155;DB Station und Service AG;2122;
8000186;EIL;de:05962:505;Iserlohn;RV;7,691608;51,373294;DB Station und Service AG;3006;
8000187;FWA;de:06534:11200;Wallau(Lahn);RV;8,47001;50,922898;DB RegioNetz Infrastruktur GmbH;;
8000188;KJ;de:05358:4188;Jülich;nur DPN;6,367977;50,919381;Rurtalbahn GmbH;;
8000189;SKL;de:07312:9035;Kaiserslautern Hbf;FV;7,768716;49,436137;DB Station und Service AG;3082;
8000190;KKAK;de:05166:23754;Kaldenkirchen;RV;6,203225;51,327184;DB Station und Service AG;3087;
8000191;RK;de:08212:90;Karlsruhe Hbf;FV;8,402181;48,993515;DB Station und Service AG;3107;
8000192;EWAN;de:05916:7590;Wanne-Eickel Hbf;FV;7,165783;51,531256;DB Station und Service AG;6533;
8000193;FK;de:06611:200001;Kassel Hbf;RV;9,489501;51,31826;DB Station und Service AG;3124;
8000194;MKFB;de:09762:950;Kaufbeuren;FV;10,629496;47,875432;DB Station und Service AG;3141;
8000195;MKFG;de:09181:503;Kaufering;RV;10,854595;48,080835;DB Station und Service AG;3142;
8000196;HWAR;de:05762:8130;Warburg(Westf);FV;9,163845;51,492953;DB Station und Service AG;6537;
8000197;MKP;de:09763:99;Kempten(Allgäu)Hbf;FV;10,31761;47,711745;DB Station und Service AG;3155;
8000198;EKG;de:05113:9383;Kettwig;RV;6,953747;51,363375;DB Station und Service AG;3166;
8000199;AK;de:01002:49079;Kiel Hbf;FV;10,131976;54,314985;DB Station und Service AG;3174;
8000201;NKL;de:09472:22900;Kirchenlaibach;RV;11,776325;49,869904;DB Station und Service AG;3187;
8000203;TKG;de:08436:1159;Kißlegg;RV;9,881921;47,793533;DB Station und Service AG;3211;
8000204;NWDO;de:09363:2;Weiden(Oberpf);RV;12,153846;49,67049;DB Station und Service AG;6597;
8000205;KKLV;de:05154:35739;Kleve;nur DPN;6,146224;51,789734;DB Station und Service AG;3265;
8000206;KKO;de:07111:010001;Koblenz Hbf;FV;7,588345;50,350929;DB Station und Service AG;3299;
8000207;KK;de:05315:11201;Köln Hbf;FV;6,958729;50,94303;DB Station und Service AG;3320;
8000208;KKER,KKERP;de:05315:14201;Köln-Ehrenfeld;FV;6,917276;50,951533;DB Station und Service AG;3330;
8000209;KKM;de:05315:19201;Köln-Mülheim;RV;7,013295;50,957986;DB Station und Service AG;3336;
8000210;FKOB;de:06635:205466;Korbach Hbf;RV;8,873229;51,278712;DB RegioNetz Infrastruktur GmbH;;
8000211;KKR;de:05114:21002;Krefeld Hbf;FV;6,569885;51,325717;DB Station und Service AG;3403;
8000212;KKRO;de:05114:21590;Krefeld-Oppum;RV;6,61009;51,329749;DB Station und Service AG;3405;
8000213;HK;de:03155:3532;Kreiensen;FV;9,967798;51,851423;DB Station und Service AG;3407;
8000214;EKT;de:05970:10191;Kreuztal;nur DPN;7,991696;50,956029;DB Station und Service AG;3420;
8000215;ELAG;de:05766:2200;Lage(Lippe);nur DPN;8,801199;51,991742;DB Station und Service AG;3491;
8000216;RLA;de:07313:8304;Landau(Pfalz)Hbf;RV;8,126204;49,197741;DB Station und Service AG;3505;
8000217;MLA;de:09261:64;Landshut(Bay)Hbf;RV;12,13593;48,547492;DB Station und Service AG;3513;
8000218;FWG;de:06533:11118;Weilburg;RV;8,267949;50,486368;DB Station und Service AG;6612;
8000220;MWH;de:09190:41571;Weilheim(Oberbay);FV;11,14286;47,845363;DB Station und Service AG;6616;
8000221;TL;de:08128:13805;Lauda;RV;9,709512;49,565385;DB Station und Service AG;3576;
8000222;FLAU;de:06535:11203;Lauterbach(Hess)Nord;nur DPN;9,408055;50,643606;DB Station und Service AG;3602;
8000225;HLEE;de:03457:54173;Leer(Ostfriesl);FV;7,465283;53,23165;DB Station und Service AG;3609;
8000226;HLER;de:03241:9808;Lehrte;RV;9,974599;52,376722;DB Station und Service AG;3620;
8000227;ELE;de:05962:1001;Letmathe;nur DPN;7,618397;51,362838;DB Station und Service AG;3670;
8000228;NLF;de:09478:27000;Lichtenfels;FV;11,059472;50,146452;DB Station und Service AG;3700;
8000229;FL;de:06533:11025;Limburg(Lahn);RV;8,062342;50,384119;DB Station und Service AG;3720;
8000230;MLI;de:09776:1546;Lindau Hbf;FV;9,680469;47,544341;DB Station und Service AG;3727;
8000231;TWT;de:08128:13412;Wertheim;RV;9,513095;49,762025;DB RegioNetz Infrastruktur GmbH;;
8000233;HL;de:05758:1741;Löhne(Westf);RV;8,7135;52,196653;DB Station und Service AG;3768;
8000234;FLOL;de:06531:11085;Lollar;RV;8,70174;50,647936;DB Station und Service AG;3776;
8000235;TLU;de:08118:7402;Ludwigsburg;FV;9,18542;48,891862;DB Station und Service AG;3833;
8000236;RL,RL  T;de:07314:2080;Ludwigshafen(Rh)Hbf;FV;8,433402;49,477987;DB Station und Service AG;3837;
8000237;AL;de:01003:57819;Lübeck Hbf;FV;10,669821;53,867547;DB Station und Service AG;3807;
8000238;ALBG,ALBGW;de:03355:8000238;Lüneburg;FV;10,41989;53,249656;DB Station und Service AG;3855;
8000239;ELUE;de:05978:16135;Lünen Hbf;RV;7,529485;51,617129;DB Station und Service AG;3856;
8000240;FMZ;de:07315:9037;Mainz Hbf;FV;8,25872;50,001117;DB Station und Service AG;3898;
8000241;FMB,FMB P;de:06433:6999;Mainz-Bischofsheim;RV;8,35750043;49,9932258;DB Station und Service AG;3901;
8000242;EWES;de:05170:36918;Wesel;RV;6,627134;51,65584;DB Station und Service AG;6701;
8000243;FMFH;de:06634:204401;Malsfeld;nur DPN;9,534833;51,097605;DB Station und Service AG;3918;
8000244;RM;de:08222:2417;Mannheim Hbf;FV;8,468921;49,479354;DB Station und Service AG;3925;
8000245;FWBG;de:07143:040018;Westerburg;nur DPN;7,966978;50,557642;DB Station und Service AG;6710;
8000247;NMR;de:09479:7597;Marktredwitz;RV;12,082583;50,004596;DB Station und Service AG;3979;
8000248;KMYO;de:07137:030048;Mayen Ost;RV;7,238939;50,329594;DB Station und Service AG;4008;
8000249;MM;de:09764:3100;Memmingen;FV;10,186853;47,985581;DB Station und Service AG;4051;
8000250;FW;de:06414:6907;Wiesbaden Hbf;FV;8,243731;50,070791;DB Station und Service AG;6744;
8000251;EWIT;de:05954:5469;Witten Hbf;RV;7,329442;51,435544;DB Station und Service AG;6822;
8000252;HM;de:05770:4213;Minden(Westf);FV;8,934728;52,290138;DB Station und Service AG;4120;
8000253;KM;de:05116:23007;Mönchengladbach Hbf;FV;6,446111;51,196583;DB Station und Service AG;4162;
8000254;RWRT;de:07334:1731;Wörth(Rhein);RV;8,273146;49,045678;DB Station und Service AG;6893;
8000255;HWOH,HWOL;de:03158:458;Wolfenbüttel;RV;10,532306;52,159126;DB Station und Service AG;6850;
8000256;MRBI;de:09186:8181;Rohrbach(Ilm);RV;11,5733457;48,6065535;DB Station und Service AG;6874;
8000257;FWOR;de:07319:4415;Worms Hbf;FV;8,356448;49,63494;DB Station und Service AG;6887;
8000258;MMF;de:09183:6530;Mühldorf(Oberbay);RV;12,519638;48,248208;DB RegioNetz Infrastruktur GmbH;;
8000259;EMLR;de:05117:15225;Mülheim(Ruhr)Hbf;FV;6,88651;51,431342;DB Station und Service AG;4219;
